Name ,Content,Collection,Year of Publication
Two look at Two,"Love and forgetting might have carried them 
A little further up the mountain side 
With night so near, but not much further up. 
They must have halted soon in any case 
With thoughts of a path back, how rough it was 
With rock and washout, and unsafe in darkness; 
When they were halted by a tumbled wall 
With barbed-wire binding. They stood facing this, 
Spending what onward impulse they still had 
In One last look the way they must not go, 
On up the failing path, where, if a stone 
Or earthslide moved at night, it moved itself; 
No footstep moved it. ‘This is all,’ they sighed, 
Good-night to woods.’ But not so; there was more. 
A doe from round a spruce stood looking at them 
Across the wall, as near the wall as they. 
She saw them in their field, they her in hers. 
The difficulty of seeing what stood still, 
Like some up-ended boulder split in two, 
Was in her clouded eyes; they saw no fear there. 
She seemed to think that two thus they were safe. 
Then, as if they were something that, though strange, 
She could not trouble her mind with too long, 
She sighed and passed unscared along the wall. 
‘This, then, is all. What more is there to ask?’ 
But no, not yet. A snort to bid them wait. 
A buck from round the spruce stood looking at them 
Across the wall as near the wall as they. 
This was an antlered buck of lusty nostril, 
Not the same doe come back into her place. 
He viewed them quizzically with jerks of head, 
As if to ask, ‘Why don’t you make some motion? 
Or give some sign of life? Because you can’t. 
I doubt if you’re as living as you look.” 
Thus till he had them almost feeling dared 
To stretch a proffering hand — and a spell-breaking. 
Then he too passed unscared along the wall. 
Two had seen two, whichever side you spoke from. 
‘This must be all.’ It was all. Still they stood, 
A great wave from it going over them, 
As if the earth in one unlooked-for favour 
Had made them certain earth returned their love.",New Hampshire,1923
Misgiving,"All crying, ‘We will go with you, O Wind!’
The foliage follow him, leaf and stem;
But a sleep oppresses them as they go,
And they end by bidding them as they go,
And they end by bidding him stay with them.
Since ever they flung abroad in spring
The leaves had promised themselves this flight,
Who now would fain seek sheltering wall,
Or thicket, or hollow place for the night.
And now they answer his summoning blast
With an ever vaguer and vaguer stir,
Or at utmost a little reluctant whirl
That drops them no further than where they were.
I only hope that when I am free
As they are free to go in quest
Of the knowledge beyond the bounds of life
It may not seem better to me to rest.",New Hampshire,1923
The Axe-Helve,"I’ve known ere now an interfering branch 
Of alder catch my lifted axe behind me. 
But that was in the woods, to hold my hand 
From striking at another alder’s roots, 
And that was, as I say, an alder branch. 
This was a man, Baptiste, who stole one day 
Behind me on the snow in my own yard 
Where I was working at the chopping block, 
And cutting nothing not cut down already. 
He caught my axe expertly on the rise, 
When all my strength put forth was in his favor, 
Held it a moment where it was, to calm me, 
Then took it from me – and I let him take it. 
I didn’t know him well enough to know 
What it was all about. There might be something 
He had in mind to say to a bad neighbour 
He might prefer to say to him disarmed. 
But all he had to tell me in French-English 
Was what he thought of- not me, but my axe; 
Me only as I took my axe to heart. 
It was the bad axe-helve some one had sold me – 
‘Made on machine,’ he said, ploughing the grain 
With a thick thumbnail to show how it ran 
Across the handle’s long, drawn serpentine, 
Like the two strokes across a dollar sign. 
‘You give her ‘one good crack, she’s snap raght off. 
Den where’s your hax-ead flying t’rough de hair?’ 
Admitted; and yet, what was that to him? 
‘Come on my house and I put you one in 
What’s las’ awhile – good hick’ry what’s grow crooked, 
De second growt’ I cut myself-tough, tough!’
Something to sell? That wasn’t how it sounded.
‘Den when you say you come? It’s cost you nothing. 
To-naght?’
As well to-night as any night.
Beyond an over-warmth of kitchen stove 
My welcome differed from no other welcome. 
Baptiste knew best why I was where I was. 
So long as he would leave enough unsaid, 
I shouldn’t mind his being overjoyed 
(If overjoyed he was) at having got me 
Where I must judge if what he knew about an axe 
That not everybody else knew was to count 
For nothing in the measure of a neighbour. 
Hard if, though cast away for life with Yankees, 
A Frenchman couldn’t get his human rating.
Mrs. Baptiste came in and rocked a chair 
That had as many motions as the world: 
One back and forward, in and out of shadow, 
That got her nowhere; one more gradual, 
Sideways, that would have run her on the stove 
In time, had she not realized her danger 
And caught herself up bodily, chair and all, 
And set herself back where she, started from. 
‘She ain’t spick too much Henglish- dat’s too bad.’ 
I was afraid, in brightening first on me, 
Then on Baptiste, as if she understood 
‘What passed between us, she was only reigning. 
Baptiste was anxious for her; but no more 
Than for himself, so placed he couldn’t hope 
To keep his bargain of the morning with me 
In time to keep me from suspecting him 
Of really never having meant to keep it.
Needlessly soon he had his axe-helves out, 
A quiverful to choose from, since he wished me 
To have the best he had, or had to spare – 
Not for me to ask which, when what he took 
Had beauties he had to point me out at length 
To ensure their not being wasted on me. 
He liked to have it slender as a whipstock, 
Free from the least knot, equal to the strain 
Of bending like a sword across the knee. 
He showed me that the lines of a good helve 
Were native to the grain before the knife 
Expressed them, and its curves were no false curves 
Put on it from without. And there its strength lay 
For the hard work. He chafed its long white body 
From end to end with his rough hand shut round it. 
He tried it at the eye-hold in the axe-head. 
‘Hahn, hahn,’ he mused, ‘don’t need much taking down.’ 
Baptiste knew how to make a short job long 
For love of it, and yet not waste time either.
Do you know, what we talked about was knowledge? 
Baptiste on his defence about the children 
He kept from school, or did his best to keep – 
Whatever school and children and our doubts 
Of laid-on education had to do 
With the curves of his axe-helves and his having 
Used these unscrupulously to bring me 
To see for once the inside of his house. 
Was I desired in friendship, partly as some one 
To leave it to, whether the right to hold 
Such doubts of education should depend 
Upon the education of those who held them. 
But now he brushed the shavings from his knee 
And stood the axe there on its horse’s hoof, 
Erect, but not without its waves, as when 
The snake stood up for evil in the Garden’- 
Top-heavy with a heaviness his short, 
Thick hand made light of, steel-blue chin drawn down 
And in a little – a French touch in that. 
Baptiste drew back and squinted at it, pleased; 
‘See how she’s cock her head.",New Hampshire,1923
The Grind-Stone,"Having a wheel and four legs of its own
Has never availed the cumbersome grindstone
To get it anywhere that I can see.
These hands have helped it go, and even race;
Not all the motion, though, they ever lent,
Not all tke miles it may have thought it went,
Have got it one step from the starting place.
It stands beside the same old apple tree.
The shadow of the apple tree is thin
Upon it now its feet as fast in snow.
All other farm machinery's gone in,
And some of it on no more legs and wheel
Than the grindstone can boast to stand or go.
(I'm thinking chiefly of the wheelbarrow.)
For months it hasn't known the taste of steel
Washed down with rusty water in a tin..
But standing outdoors hungry, in the cold,
Except in towns at night is not a sin.
And> anyway, it's standing in the yard
Under a ruinous live apple tree
Has nothing any more to do with me,
Except that I remember how of old
One summer day, all day I drove it hard,
And someone mounted on it rode it hard
And he and I between us ground a blade.
I gave it the preliminary spin
And poured on water (tears it might have been);
And when it almost gaily jumped and flowed,
A Father-Time-like man got on and rode,
Armed with a scythe and spectacles that glowed.
He turned on will-power to increase the load
And slow me down -- and I abruptly slowed,
Like coming to a sudden railroad station.
I changed from hand to hand in desperation.
I wondered what machine of ages gone
This represented an improvement on.
For all I knew it may have sharpened spears
And arrowheads itself. Much use.for years
Had gradually worn it an oblate
Spheroid that kicked and struggled in its gait,
Appearing to return me hate for hate;
(But I forgive it now as easily
As any other boyhood enemy
Whose pride has failed to get him anywhere).
I wondered who it was the man thought ground
-The one who held the wheel back or the one
Who gave his life to keep it going round?
· I wondered if he really thought it fair
For him to have the say when we were done.
Such were the bitter thoughts to which I turned.
Not for myself was I so much concerned
Oh no --Although, of course, I could have found
A better way to pass the afternoon
Than grinding discord out of a grindstone,
And beating insects at their gritty tune.
Nor was I for the man so much concerned.
Once when the grindstone almost jumped its bearing
It looked as if he might be badly thrown
And wounded on his blade. So far from caring,
I laughed inside, and only cranked the faster
(It ran as if it wasn't greased but glued);
I'd welcome any moderate disaster
That might be calculated to postpone
What evidently nothing could conclude.
The thing that made me more and more afraid
Was that we'd ground it sharp and hadn't known,
And now were only wasting precious blade.
And when he raised it dripping once and tried
The creepy edge of it with wary touch
And viewed it over his glasses funny-eyed,
Only disinterestedly to decide
It needed a turn more, I could have cried
Wasn't there a danger of a turn too much?
Mightn't we make it worse instead of better?
I was for leaving something to the whettot.
What if it wasn't all it should be? I'd
Be satisfied if he'd be satisfied.",New Hampshire,1923
The Witch of Coos,"I staid the night for shelter at a farm
Behind the mountains, with a mother and son,
Two old-believers. They did all the talking.
MOTHER Folks think a witch who has familiar spirits
She could call up to pass a winter evening,
But won’t, should be burned at the stake or something.
Summoning spirits isn’t ‘Button, button,
Who’s got the button,’ I would have them know.
SON: Mother can make a common table rear
And kick with two legs like an army mule.
MOTHER: And when I’ve done it, what good have I
done?
Rather than tip a table for you, let me
Tell you what Ralle the Sioux Control once told me.
He said the dead had souls, but when I asked him
How could that be – I thought the dead were souls,
He broke my trance. Don’t that make you suspicious
That there’s something the dead are keeping back?
Yes, there’s something the dead are keeping back.
SON: You wouldn’t want to tell him what we have
Up attic, mother?
MOTHER: Bones – a skeleton.
SON: But the headboard of mother’s bed is pushed
Against the’ attic door: the door is nailed.
It’s harmless. Mother hears it in the night
Halting perplexed behind the barrier
Of door and headboard. Where it wants to get
Is back into the cellar where it came from.
MOTHER: We’ll never let them, will we, son! We’ll
never !
SON: It left the cellar forty years ago
And carried itself like a pile of dishes
Up one flight from the cellar to the kitchen,
Another from the kitchen to the bedroom,
Another from the bedroom to the attic,
Right past both father and mother, and neither stopped
it.
Father had gone upstairs; mother was downstairs.
I was a baby: I don’t know where I was.
MOTHER: The only fault my husband found with me – 
I went to sleep before I went to bed,
Especially in winter when the bed
Might just as well be ice and the clothes snow.
The night the bones came up the cellar-stairs
Toffile had gone to bed alone and left me,
But left an open door to cool the room off
So as to sort of turn me out of it.
I was just coming to myself enough
To wonder where the cold was coming from,
When I heard Toffile upstairs in the bedroom
And thought I heard him downstairs in the cellar.
The board we had laid down to walk dry-shod on
When there was water in the cellar in spring
Struck the hard cellar bottom. And then someone
Began the stairs, two footsteps for each step,
The way a man with one leg and a crutch,
Or a little child, comes up. It wasn’t Toffile:
It wasn’t anyone who could be there.
The bulkhead double-doors were double-locked
And swollen tight and buried under snow.
The cellar windows were banked up with sawdust
And swollen tight and buried under snow.
It was the bones. I knew them – and good reason.
My first impulse was to get to the knob
And hold the door. But the bones didn’t try
The door; they halted helpless on the landing,
Waiting for things to happen in their favour.’
The faintest restless rustling ran all through them.
I never could have done the thing I did
If the wish hadn’t been too strong in me
To see how they were mounted for this walk.
I had a vision of them put together
Not like a man, but like a chandelier.
So suddenly I flung the door wide on him.
A moment he stood balancing with emotion,
And all but lost himself. (A tongue of fire
Flashed out and licked along his upper teeth.
Smoke rolled inside the sockets of his eyes.)
Then he came at me with one hand outstretched,
The way he did in life once; but this time
I struck the hand off brittle on the floor,
And fell back from him on the floor myself.
The finger-pieces slid in all directions.
(Where did I see one of those pieces lately?
Hand me my button-box- it must be there.)
I sat up on the floor and shouted, ‘Toffile,
It’s coming up to you.’ It had its choice
Of the door to the cellar or the hall.
It took the hall door for the novelty,
And set off briskly for so slow a thing,
Stillgoing every which way in the joints, though,
So that it looked like lightning or a scribble,
>From the slap I had just now given its hand.
I listened till it almost climbed the stairs
>From the hall to the only finished bedroom,
Before I got up to do anything;
Then ran and shouted, ‘Shut the bedroom door,
Toffile, for my sake!’ ‘Company?’ he said,
‘Don’t make me get up; I’m too warm in bed.’
So lying forward weakly on the handrail
I pushed myself upstairs, and in the light
(The kitchen had been dark) I had to own
I could see nothing. ‘Toffile, I don’t see it.
It’s with us in the room though. It’s the bones.’
‘What bones?’ ‘The cellar bones- out of the grave.’
That made him throw his bare legs out of bed
And sit up by me and take hold of me.
I wanted to put out the light and see
If I could see it, or else mow the room,
With our arms at the level of our knees,
And bring the chalk-pile down. ‘I’ll tell you what-
It’s looking for another door to try.
The uncommonly deep snow has made him think
Of his old song, The Wild Colonial Boy,
He always used to sing along the tote-road.
He’s after an open door to get out-doors.
Let’s trap him with an open door up attic.’
Toffile agreed to that, and sure enough,
Almost the moment he was given an opening,
The steps began to climb the attic stairs.
I heard them. Toffile didn’t seem to hear them.
‘Quick !’ I slammed to the door and held the knob.
‘Toffile, get nails.’ I made him nail the door shut,
And push the headboard of the bed against it.
Then we asked was there anything
Up attic that we’d ever want again.
The attic was less to us than the cellar.
If the bones liked the attic, let them have it.
Let them stay in the attic. When they sometimes
Come down the stairs at night and stand perplexed
Behind the door and headboard of the bed,
Brushing their chalky skull with chalky fingers,
With sounds like the dry rattling of a shutter,
That’s what I sit up in the dark to say-
To no one any more since Toffile died.
2o3 Let them stay in the attic since they went there.
I promised Toffile to be cruel to them
For helping them be cruel once to him.
SON: We think they had a grave down in the cellar.
MOTHER: We know they had a grave down in the cellar.
SON: We never could find out whose bones they were.
MOTHER: Yes, we could too, son. Tell the truth for once.
They were a man’s his father killed for me.
I mean a man he killed instead of me.
The least I could do was to help dig their grave.
We were about it one night in the cellar.
Son knows the story: but ’twas not for him
To tell the truth, suppose the time had come.
Son looks surprised to see me end a lie
We’d kept all these years between ourselves
So as to have it ready for outsiders.
But to-night I don’t care enough to lie-
I don’t remember why I ever cared.
Toffile, if he were here, I don’t believe
Could tell you why he ever cared himself-
She hadn’t found the finger-bone she wanted
Among the buttons poured out in her lap.
I verified the name next morning: Toffile.
The rural letter-box said Toffile Lajway.",New Hampshire,1923
The Pauper Witch of Grafton,"NOW that they’ve got it settled whose I be,
I’m going to tell them something they won’t like:
They’ve got it settled wrong, and I can prove it.
Flattered I must be to have two towns fighting
To make a present of me to each other.
They don’t dispose me, either one of them,
To spare them any trouble. Double trouble’s
Always the witch’s motto anyway.
I’ll double theirs for both of them- you watch me.
They’ll find they’ve got the whole thing to do over,
That is, if facts is what they want to go by.
They set a lot (now don’t they?) by a record
Of Arthur Amy’s having once been up
For Hog Reeve in March Meeting here in Warren.
I could have told them any time this twelvemonth
The Arthur Amy I was married to
Couldn’t have been the one they say was up
In Warren at March Meeting for the reason
He wa’n’t but fifteen at the time they say.
The Arthur Amy I was married to
voted the only times he ever voted,
Which wasn’t many, in the town of Wentworth.
One of the times was when ’twas in the warrant
To see if the town wanted to take over
The tote road to our clearing where we lived.
I’ll tell you who’d remember- Heman Lapish.
Their Arthur Amy was the father of mine.
So now they’ve dragged it through the law courts once
I guess they’d better drag it through again.
Wentworth and Warren’s both good towns to live in,
Only I happen to prefer to live
In Wentworth from now on; and when all’s said,
Right’s right, and the temptation to do right
When I can hurt someone by doing it
Has always been too much for me, it has.
I know of some folks that’d be set up
At having in their town a noted witch:
But most would have to think of the expense
That even I would be. They ought to know
That as a witch I’d often milk a bat
And that’d be enough to last for days.
It’d make my position stronger, I think,
If I was to consent to give some sign
To make it surer that I was a witch?
It wa’n’t no sign, I s’pose, when Mallice Huse
Said that I took him out in his old age
And rode all over everything on him
Until I’d had him worn to skin and bones,
And if I’d left him hitched unblanketed
In front of one Town Hall, I’d left him hitched
In front of every one in Grafton County.
Some cried shame on me not to blanket him,
The poor old man. It would have been all right
If some one hadn’t said to gnaw the posts
He stood beside and leave his trade mark on them,
So they could recognize them. Not a post
That they could hear tell of was scarified.
They made him keep on gnawing till he whined.
Then that same smarty someone said to look- 
He’d bet Huse was a cribber and had gnawed
The crib he slept in- and as sure’s you’re born
They found he’d gnawed the four posts of his bed,
All four of them to splinters. What did that prove?
Not that he hadn’t gnawed the hitching posts
He said he had besides. Because a horse
Gnaws in the stable ain’t no proof to me
He don’t gnaw trees and posts and fences too.
But everybody took it for proof.
I was a strapping girl of twenty then.
The smarty someone who spoiled everything
Was Arthur Amy. You know who he was.
That was the way he started courting me.
He never said much after we were married,
But I mistrusted he was none too proud
Of having interfered in the Huse business.
I guess he found he got more out of me
By having me a witch. Or something happened
To turn him round. He got to saying things
To undo what he’d done and make it right,
Like, ‘No, she ain’t come back from kiting yet.
Last night was one of her nights out. She’s kiting.
She thinks when the wind makes a night of it
She might as well herself.’ But he liked best
To let on he was plagued to death with me:
If anyone had seen me coming home
Over the ridgepole, ‘stride of a broomstick,
As often as he had in the tail of the night,
He guessed they’d know what he had to put up with.
Well, I showed Arthur Amy signs enough
Off from the house as far as we could keep
And from barn smells you can’t wash out of ploughed ground
With all the rain and snow of seven years;
And I don’t mean just skulls of Roger’s Rangers
On Moosilauke, but woman signs to man,
Only bewitched so I would last him longer.
Up where the trees grow short, the mosses tall,
I made him gather me wet snow berries
On slippery rocks beside a waterfall.
I made him do it for me in the dark.
And he liked everything I made him do.
I hope if he is where he sees me now
He’s so far off he can’t see what I’ve come to.
You _can_ come down from everything to nothing.
All is, if I’d a-known when I was young
And full of it, that this would be the end,
It doesn’t seem as if I’d had the courage
To make so free and kick up in folks’ faces.
I might have, but it doesn’t seem as if.",New Hampshire,1923
A Star in a Stone Boat,"For Lincoln MacVeagh
Never tell me that not one star of all
That slip from heaven at night and softly fall
Has been picked up with stones to build a wall.
Some laborer found one faded and stone-cold,
And saving that its weight suggested gold
And tugged it from his first too certain hold,
He noticed nothing in it to remark.
He was not used to handling stars thrown dark
And lifeless from an interrupted arc.
He did not recognize in that smooth coal
The one thing palpable besides the soul
To penetrate the air in which we roll.
He did not see how like a flying thing
It brooded ant eggs, and bad one large wing,
One not so large for flying in a ring,
And a long Bird of Paradise’s tail
(Though these when not in use to fly and trail
It drew back in its body like a snail):
Nor know that be might move it from the spot—
The harm was done: from having been star-shot
The very nature of the soil was hot
And burning to yield flowers instead of grain,
Flowers fanned and not put out by all the rain
Poured on them by his prayers prayed in vain.
He moved it roughly with an iron bar,
He loaded an old stoneboat with the star
And not, as you might think, a flying car,
Such as even poets would admit perforce
More practical than Pegasus the horse
If it could put a star back in its course.
He dragged it through the plowed ground at a pace
But faintly reminiscent of the race
Of jostling rock in interstellar space.
It went for building stone, and I, as though
Commanded in a dream, forever go
To right the wrong that this should have been so.
Yet ask where else it could have gone as well,
I do not know—I cannot stop to tell:
He might have left it lying where it fell.
From following walls I never lift my eye,
Except at night to places in the sky
Where showers of charted meteors let fly.
Some may know what they seek in school and church,
And why they seek it there; for what I search
I must go measuring stone walls, perch on perch;
Sure that though not a star of death and birth,
So not to be compared, perhaps, in worth
To such resorts of life as Mars and Earth—
Though not, I say, a star of death and sin,
It yet has poles, and only needs a spin
To show its worldly nature and begin
To chafe and shuffle in my calloused palm
And run off in strange tangents with my arm,
As fish do with the line in first alarm.
Such as it is, it promises the prize
Of the one world complete in any size
That I am like to compass, fool or wise.",New Hampshire,1923
In a Disguised Graveyard,"The living come with grassy tread
To read the gravestones on the hill;
The graveyard draws the living still,
But never anymore the dead.
The verses in it say and say:
“The ones who living come today
To read the stones and go away
Tomorrow dead will come to stay.”
So sure of death the marbles rhyme,
Yet can’t help marking all the time
How no one dead will seem to come.
What is it men are shrinking from?
It would be easy to be clever
And tell the stones: Men hate to die
And have stopped dying now forever.
I think they would believe the lie.",New Hampshire,1923
A Brook in the City,"The farmhouse lingers, though averse to square
With the new city street it has to wear
A number in. But what about the brook
That held the house as in an elbow-crook?
I ask as one who knew the brook, its strength
And impulse, having dipped a finger length
And made it leap my knuckle, having tossed
A flower to try its currents where they crossed.
The meadow grass could be cemented down
From growing under pavements of a town;
The apple trees be sent to hearth-stone flame.
Is water wood to serve a brook the same?
How else dispose of an immortal force
No longer needed? Staunch it at its source
With cinder loads dumped down? The brook was thrown
Deep in a sewer dungeon under stone
In fetid darkness still to live and run —
And all for nothing it had ever done
Except forget to go in fear perhaps.
No one would know except for ancient maps
That such a brook ran water. But I wonder
If from its being kept forever under,
The thoughts may not have risen that so keep
This new-built city from both work and sleep.",New Hampshire,1923
On a tree Fallen Across the Road,"(To hear us talk)
The tree the tempest with a crash of wood
Throws down in front of us is not bar
Our passage to our journey’s end for good,
But just to ask us who we think we are
Insisting always on our own way so.
She likes to halt us in our runner tracks,
And make us get down in a foot of snow
Debating what to do without an ax.
And yet she knows obstruction is in vain:
We will not be put off the final goal
We have it hidden in us to attain,
Not though we have to seize earth by the pole
And, tired of aimless circling in one place,
Steer straight off after something into space.",New Hampshire,1923
Gathering Leaves,"Spades take up leaves
No better than spoons,
And bags full of leaves
Are light as balloons.
I make a great noise
Of rustling all day
Like rabbit and deer
Running away.
But the mountains I raise
Elude my embrace,
Flowing over my arms
And into my face.
I may load and unload
Again and again
Till I fill the whole shed,
And what have I then?
Next to nothing for weight,
And since they grew duller
From contact with earth,
Next to nothing for color.
Next to nothing for use.
But a crop is a crop,
And who’s to say where
The harvest shall stop?",New Hampshire,1923
To Earthward,"Love at the lips was touch 
As sweet as I could bear; 
And once that seemed too much; 
I lived on air
That crossed me from sweet things, 
The flow of – was it musk 
From hidden grapevine springs 
Down hill at dusk?
I had the swirl and ache 
From sprays of honeysuckle 
That when they’re gathered shake 
Dew on the knuckle.
I craved strong sweets, but those 
Seemed strong when I was young; 
The petal of the rose 
It was that stung.
Now no joy but lacks salt 
That is not dashed with pain 
And weariness and fault; 
I crave the stain
Of tears, the aftermark 
Of almost too much love, 
The sweet of bitter bark 
And burning clove.
When stiff and sore and scarred 
I take away my hand 
From leaning on it hard 
In grass and sand,
The hurt is not enough: 
I long for weight and strength 
To feel the earth as rough 
To all my length.",New Hampshire,1923
